word,meaning,source_sentence,target_sentence,input_text,target_text
Cà lình cà xình,"Lề mề, chậm chạp chưa hòa hợp hoặc nhếch nhác, tạm bợ",Công việc đó vẫn còn cà lình cà xình,"Công việc đó vẫn còn đang dậm chân tại chỗ, chưa đâu vào đâu","Cà lình cà xình [SEP] Lề mề, chậm chạp chưa hòa hợp hoặc nhếch nhác, tạm bợ [SEP] Công việc đó vẫn còn cà lình cà xình","Công việc đó vẫn còn đang dậm chân tại chỗ, chưa đâu vào đâu"
Quá lẽ,Vượt mức bình thường,"Chuyện quá lẽ này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện vượt mức bình thường này nghe lạ nhưng thật đó, tớ chứng kiến.","Quá lẽ [SEP] Vượt mức bình thường [SEP] Chuyện quá lẽ này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện vượt mức bình thường này nghe lạ nhưng thật đó, tớ chứng kiến."
Xẹt vít,Phát bóng (Tennis Bóng bàn),"Cái kiểu xẹt vít đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu phát bóng đó quen lắm rồi, ai ở đây cũng biết.","Xẹt vít [SEP] Phát bóng (Tennis Bóng bàn) [SEP] Cái kiểu xẹt vít đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu phát bóng đó quen lắm rồi, ai ở đây cũng biết."
Còi cói,"Lưa thưa, ướt át (tóc) còi cọc non nớt (động vật)","Ai hớt cái đầu mày còi cói vậy?, Mấy con chim còi cói đó thả cho về với mẹ nó",Ai cắt cho cậu cái mái tóc lưa thưa lởm chởm thế này? / Mấy con chim non nớt còi cọc kia đem thả đi,"Còi cói [SEP] Lưa thưa, ướt át (tóc) còi cọc non nớt (động vật) [SEP] Ai hớt cái đầu mày còi cói vậy?, Mấy con chim còi cói đó thả cho về với mẹ nó",Ai cắt cho cậu cái mái tóc lưa thưa lởm chởm thế này? / Mấy con chim non nớt còi cọc kia đem thả đi
Trộc trệch Trôi xuôi,Lỏng lẻo Phó mặc,"Cái kiểu trộc trệch đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu lỏng lẻo đó quen lắm rồi, ai ở đây cũng biết.","Trộc trệch Trôi xuôi [SEP] Lỏng lẻo Phó mặc [SEP] Cái kiểu trộc trệch đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu lỏng lẻo đó quen lắm rồi, ai ở đây cũng biết."
Ăn nhậu,"Tụ tập chè chén, uống rượu bia.","Nhậu nhẹt lai rai thì vui, chứ ăn nhậu nát nước thì tan nát gia đình.","Nhậu nhẹt thỉnh thoảng thì vui, chứ uống rượu tối ngày thì tan nát gia đình.","Ăn nhậu [SEP] Tụ tập chè chén, uống rượu bia. [SEP] Nhậu nhẹt lai rai thì vui, chứ ăn nhậu nát nước thì tan nát gia đình.","Nhậu nhẹt thỉnh thoảng thì vui, chứ uống rượu tối ngày thì tan nát gia đình."
Bự xộn,"Lớn hẳn ra, biểu lộ sự ngạc nhiên vì lớn mau","Lâu ngày không gặp thấy bự xộn, ra dáng thanh niên rồi","Lâu ngày không gặp thấy lớn bổng lên, ra dáng thanh niên rồi","Bự xộn [SEP] Lớn hẳn ra, biểu lộ sự ngạc nhiên vì lớn mau [SEP] Lâu ngày không gặp thấy bự xộn, ra dáng thanh niên rồi","Lâu ngày không gặp thấy lớn bổng lên, ra dáng thanh niên rồi"
Áng,"Đồ dùng để đựng nước bằng đất nung nhỏ thường đặt cạnh bờ kênh, rạch","Nước lớn rồi, con đổ nước vô ảng đi","Nước lớn rồi, con đổ nước vào đồ đựng nước bằng đất nung đi","Áng [SEP] Đồ dùng để đựng nước bằng đất nung nhỏ thường đặt cạnh bờ kênh, rạch [SEP] Nước lớn rồi, con đổ nước vô ảng đi","Nước lớn rồi, con đổ nước vào đồ đựng nước bằng đất nung đi"
Dính đeo,Bám chặt hoặc (nghĩa bóng) theo sát không rời,Buồng dừa trái dính đeo thấy mắc ham,Buồng dừa quả sai trĩu trịt trông phát thèm,Dính đeo [SEP] Bám chặt hoặc (nghĩa bóng) theo sát không rời [SEP] Buồng dừa trái dính đeo thấy mắc ham,Buồng dừa quả sai trĩu trịt trông phát thèm
Bể bạc,Thất bại Lộ bí mật,"Theo nó làm ăn mấy năm bể bạc, tui phải quay về xứ đây","Theo nó làm ăn mấy năm thất bại, tôi phải quay về quê đây","Bể bạc [SEP] Thất bại Lộ bí mật [SEP] Theo nó làm ăn mấy năm bể bạc, tui phải quay về xứ đây","Theo nó làm ăn mấy năm thất bại, tôi phải quay về quê đây"
Ú (mập),"Béo phệ, đầy tràn","Cái giỏ đầy ú rồi, đừng đựng thêm.","Cái giỏ đầy ắp rồi, đừng đựng thêm nữa.","Ú (mập) [SEP] Béo phệ, đầy tràn [SEP] Cái giỏ đầy ú rồi, đừng đựng thêm.","Cái giỏ đầy ắp rồi, đừng đựng thêm nữa."
Chước mầu quỷ yêu,Mưu kế hay Mưu mô xảo quyệt gian manh,Ba cái chước yêu đó mà mày làm theo là có ngày ở tù đó nghen con,Mấy cái mưu hèn kế bẩn đó mà mày nghe theo làm liều là có ngày đi tù đấy nhé con,Chước mầu quỷ yêu [SEP] Mưu kế hay Mưu mô xảo quyệt gian manh [SEP] Ba cái chước yêu đó mà mày làm theo là có ngày ở tù đó nghen con,Mấy cái mưu hèn kế bẩn đó mà mày nghe theo làm liều là có ngày đi tù đấy nhé con
Cắc cúm củm,"Dành dụm, chắt chiu từng ít một","Ai cho bà, bà cũng cắc củm để dành",Ai cho gì bà cũng chắt chiu để dành,"Cắc cúm củm [SEP] Dành dụm, chắt chiu từng ít một [SEP] Ai cho bà, bà cũng cắc củm để dành",Ai cho gì bà cũng chắt chiu để dành
Hủ hỉ,"Nhỏ to thủ thỉ, gắn bó",Hai vợ chồng già hưu trí sống hủ hỉ với nhau ngày ba bữa cơm dưa.,Hai vợ chồng già nghỉ hưu sống đầm ấm nương tựa nhau ngày ba bữa cơm rau.,"Hủ hỉ [SEP] Nhỏ to thủ thỉ, gắn bó [SEP] Hai vợ chồng già hưu trí sống hủ hỉ với nhau ngày ba bữa cơm dưa.",Hai vợ chồng già nghỉ hưu sống đầm ấm nương tựa nhau ngày ba bữa cơm rau.
Giày bót đờ số,Giày ống đế cứng của lính (từ botte de saut),Mấy đôi giày bót đờ số này đi rất nặng,Loại giày quân đội này rất bền và chắc chắn,Giày bót đờ số [SEP] Giày ống đế cứng của lính (từ botte de saut) [SEP] Mấy đôi giày bót đờ số này đi rất nặng,Loại giày quân đội này rất bền và chắc chắn
Bằng chang,"Y chang, bằng nhau đúc","Hai đứa bằng chang nhau cũng đúng thôi, bởi vì chúng là sinh đôi","Hai đứa giống hệt nhau cũng đúng thôi, bởi vì chúng là sinh đôi","Bằng chang [SEP] Y chang, bằng nhau đúc [SEP] Hai đứa bằng chang nhau cũng đúng thôi, bởi vì chúng là sinh đôi","Hai đứa giống hệt nhau cũng đúng thôi, bởi vì chúng là sinh đôi"
Làm tuổi,Mừng tuổi dịp Tết.,Năm nào Tết vợ chồng tui cũng phải về quê làm tuổi ông bà.,Năm nào Tết vợ chồng tôi cũng phải về quê mừng tuổi ông bà.,Làm tuổi [SEP] Mừng tuổi dịp Tết. [SEP] Năm nào Tết vợ chồng tui cũng phải về quê làm tuổi ông bà.,Năm nào Tết vợ chồng tôi cũng phải về quê mừng tuổi ông bà.
Ót (1),"Gáy, sau gáy.",Anh hớt cái ót cho thằng nhỏ cao lên,Anh cạo phần gáy cho thằng bé cao lên một chút,"Ót (1) [SEP] Gáy, sau gáy. [SEP] Anh hớt cái ót cho thằng nhỏ cao lên",Anh cạo phần gáy cho thằng bé cao lên một chút
Dóng dỏi,"Đàng hoàng, gọn gàng, hài hòa, thích hợp",Lối ăn mặc dóng dỏi đủ để nói lên con người chừng mực của ông ta,Lối ăn mặc đàng hoàng đủ để nói lên con người mực thước của ông ta,"Dóng dỏi [SEP] Đàng hoàng, gọn gàng, hài hòa, thích hợp [SEP] Lối ăn mặc dóng dỏi đủ để nói lên con người chừng mực của ông ta",Lối ăn mặc đàng hoàng đủ để nói lên con người mực thước của ông ta
Tép rẹp,Bụng đói xẹp lép,"Sáng giờ chưa ăn, bụng còn tép rẹp.","Sáng giờ chưa ăn, bụng xẹp lép.","Tép rẹp [SEP] Bụng đói xẹp lép [SEP] Sáng giờ chưa ăn, bụng còn tép rẹp.","Sáng giờ chưa ăn, bụng xẹp lép."
Quá xệ,Tệ hại hoặc tụt lại phía sau,"Bác Tư giải thích cho tụi nhỏ nghe về quá xệ, tụi nhỏ gật gù.","Bác Tư giải thích cho bọn nhỏ nghe về tệ hại hoặc tụt lại phía sau, bọn nhỏ gật gù.","Quá xệ [SEP] Tệ hại hoặc tụt lại phía sau [SEP] Bác Tư giải thích cho tụi nhỏ nghe về quá xệ, tụi nhỏ gật gù.","Bác Tư giải thích cho bọn nhỏ nghe về tệ hại hoặc tụt lại phía sau, bọn nhỏ gật gù."
Như Ba Tây (1),"Tuyệt vời, không ai sánh bằng (Từ 3 Tây 3 lá bài tây).",Nó đánh ván bi da này như Ba Tây,Cậu ta đánh ván bida này tuyệt đỉnh,"Như Ba Tây (1) [SEP] Tuyệt vời, không ai sánh bằng (Từ 3 Tây 3 lá bài tây). [SEP] Nó đánh ván bi da này như Ba Tây",Cậu ta đánh ván bida này tuyệt đỉnh
Dã là,"Làm ra vẻ vui tươi, tỏ ra cởi mở, thân thiện","Mày lầm rồi, dừng thấy ống dã là mà vội mừng","Mày nhầm rồi, đừng thấy ông ấy tỏ vẻ thân thiện mà vội mừng","Dã là [SEP] Làm ra vẻ vui tươi, tỏ ra cởi mở, thân thiện [SEP] Mày lầm rồi, dừng thấy ống dã là mà vội mừng","Mày nhầm rồi, đừng thấy ông ấy tỏ vẻ thân thiện mà vội mừng"
Cà nhích,Chuyển dịch đi một tí nhiều lần,phải xếp hàng cà nhích chờ tới phiên mình,phải xếp hàng nhích từng chút một chờ tới lượt mình,Cà nhích [SEP] Chuyển dịch đi một tí nhiều lần [SEP] phải xếp hàng cà nhích chờ tới phiên mình,phải xếp hàng nhích từng chút một chờ tới lượt mình
Sùng Sủng,Nổi khùng Chỗ trũng,"Chuyện sùng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện nổi khùng này nghe lạ nhưng thật đó, tớ chứng kiến.","Sùng Sủng [SEP] Nổi khùng Chỗ trũng [SEP] Chuyện sùng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện nổi khùng này nghe lạ nhưng thật đó, tớ chứng kiến."
Ngoẻm,Nhoẻn miệng cười.,Cô ấy ngoẻm miệng cười,Cô ấy nhoẻn miệng cười,Ngoẻm [SEP] Nhoẻn miệng cười. [SEP] Cô ấy ngoẻm miệng cười,Cô ấy nhoẻn miệng cười
Anh hai,(Nghĩa bóng) Tiền bạc (sức mạnh đồng tiền),"Ai có anh hai thì cứ việc mua vé máy bay, chỉ một ngày một đêm là tới nơi","Ai có tiền bạc thì cứ việc mua vé máy bay, chỉ một ngày một đêm là tới nơi","Anh hai [SEP] (Nghĩa bóng) Tiền bạc (sức mạnh đồng tiền) [SEP] Ai có anh hai thì cứ việc mua vé máy bay, chỉ một ngày một đêm là tới nơi","Ai có tiền bạc thì cứ việc mua vé máy bay, chỉ một ngày một đêm là tới nơi"
Trầm mình,Ngâm nước lâu,Đứng trầm mình dưới nước nãy giờ lạnh quá.,Đứng ngâm mình dưới nước nãy giờ lạnh quá.,Trầm mình [SEP] Ngâm nước lâu [SEP] Đứng trầm mình dưới nước nãy giờ lạnh quá.,Đứng ngâm mình dưới nước nãy giờ lạnh quá.
Gạch ống,Gạch rỗng có lỗ bên trong,Xây tường mà xây gạch ống đỡ hao gạch hơn,Xây tường bằng gạch lỗ thì tiết kiệm vật liệu hơn,Gạch ống [SEP] Gạch rỗng có lỗ bên trong [SEP] Xây tường mà xây gạch ống đỡ hao gạch hơn,Xây tường bằng gạch lỗ thì tiết kiệm vật liệu hơn
Quá ta,Tuyệt vời hoặc số lượng lớn,Bữa tiệc này làm quá ta luôn.,Bữa tiệc này làm rất hoành tráng luôn.,Quá ta [SEP] Tuyệt vời hoặc số lượng lớn [SEP] Bữa tiệc này làm quá ta luôn.,Bữa tiệc này làm rất hoành tráng luôn.
Quá lố,Quá nhiều hoặc vượt giới hạn,Ăn mặc kiểu đó nhìn quá lố thiệt.,Ăn mặc kiểu đó nhìn phản cảm/quá đà thật.,Quá lố [SEP] Quá nhiều hoặc vượt giới hạn [SEP] Ăn mặc kiểu đó nhìn quá lố thiệt.,Ăn mặc kiểu đó nhìn phản cảm/quá đà thật.
Bà vật,"Bị ốm đau do ma quỷ, hoặc câu chửi mắng","Đồ bả vật mày, mày đi đâu cho khuất mắt tao","Đồ chết tiệt, mày đi đâu cho khuất mắt tớ","Bà vật [SEP] Bị ốm đau do ma quỷ, hoặc câu chửi mắng [SEP] Đồ bả vật mày, mày đi đâu cho khuất mắt tao","Đồ chết tiệt, mày đi đâu cho khuất mắt tớ"
Ba hột,"Một ít, một chút (chỉ hạt cơm, xôi)",Mưa ba hột cho nó mát tí đi ông trời,Mưa một chút cho nó mát tí đi ông trời,"Ba hột [SEP] Một ít, một chút (chỉ hạt cơm, xôi) [SEP] Mưa ba hột cho nó mát tí đi ông trời",Mưa một chút cho nó mát tí đi ông trời
Cháu ông Ó,"Chỉ người chuyên nói láo, bịa đặt trắng trợn",Công nhận ảnh phịa chuyện có duyên thiệt Đúng là cháu ông Ó có khác,Công nhận anh ấy bịa chuyện tài thật Đúng là kẻ nói phét thành thần có khác,"Cháu ông Ó [SEP] Chỉ người chuyên nói láo, bịa đặt trắng trợn [SEP] Công nhận ảnh phịa chuyện có duyên thiệt Đúng là cháu ông Ó có khác",Công nhận anh ấy bịa chuyện tài thật Đúng là kẻ nói phét thành thần có khác
Dỏm,"Không thật, không tốt như ban đầu hàng giả",Hàng đó là hàng dỏm chớ không phải hàng xịn đâu,Hàng đó là hàng kém chất lượng chứ không phải đồ thật đâu,"Dỏm [SEP] Không thật, không tốt như ban đầu hàng giả [SEP] Hàng đó là hàng dỏm chớ không phải hàng xịn đâu",Hàng đó là hàng kém chất lượng chứ không phải đồ thật đâu
Miễu,Miếu (thờ thần).,Anh than một tiếng nát miễu xiêu đình,Anh than một tiếng nát miếu xiêu đình,Miễu [SEP] Miếu (thờ thần). [SEP] Anh than một tiếng nát miễu xiêu đình,Anh than một tiếng nát miếu xiêu đình
Quơ (hốt),"Gom, chiếm đoạt","Cái kiểu quơ đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu gom đó quen lắm rồi, ai ở đây cũng biết.","Quơ (hốt) [SEP] Gom, chiếm đoạt [SEP] Cái kiểu quơ đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu gom đó quen lắm rồi, ai ở đây cũng biết."
Thí cô hồn,Cho đi một cách khinh bỉ,"Ở dưới quê người ta hay thí cô hồn lắm, trên này ít hơn.","Ở dưới quê người ta hay cho đi một cách khinh bỉ lắm, trên này ít hơn.","Thí cô hồn [SEP] Cho đi một cách khinh bỉ [SEP] Ở dưới quê người ta hay thí cô hồn lắm, trên này ít hơn.","Ở dưới quê người ta hay cho đi một cách khinh bỉ lắm, trên này ít hơn."
Ăn huê hồng,"Ăn phần trăm tiền hoa hồng, tiền môi giới","Bán cái ghe này, tôi ăn huê hồng được hai mươi phần trăm lận đó","Bán cái thuyền này, tôi hưởng tiền hoa hồng phần trăm được hai mươi phần trăm lận đó","Ăn huê hồng [SEP] Ăn phần trăm tiền hoa hồng, tiền môi giới [SEP] Bán cái ghe này, tôi ăn huê hồng được hai mươi phần trăm lận đó","Bán cái thuyền này, tôi hưởng tiền hoa hồng phần trăm được hai mươi phần trăm lận đó"
Ủi,Là quần áo Húc mạnh,"Hổm rày thằng đó cứ ủi hoài, có chuyện gì vậy?","Dạo này anh ta cứ là quần áo mãi, có chuyện gì vậy?","Ủi [SEP] Là quần áo Húc mạnh [SEP] Hổm rày thằng đó cứ ủi hoài, có chuyện gì vậy?","Dạo này anh ta cứ là quần áo mãi, có chuyện gì vậy?"
Cúi (),"Bùi nhùi, cuộn rơm bện để mồi lửa hoặc hun khói",Hoa mai đánh bằng rơm con cúi cũng đốt xong chỗ dạy đạo kia,Dùng bùi nhùi rơm châm lửa cũng đủ đốt trụi xong chỗ đó,"Cúi () [SEP] Bùi nhùi, cuộn rơm bện để mồi lửa hoặc hun khói [SEP] Hoa mai đánh bằng rơm con cúi cũng đốt xong chỗ dạy đạo kia",Dùng bùi nhùi rơm châm lửa cũng đủ đốt trụi xong chỗ đó
Tươi tái,Mặt mày tươi tắn,Thấy mặt nó nhìn tươi tái là vui rồi.,Thấy khuôn mặt nó rạng rỡ là vui rồi.,Tươi tái [SEP] Mặt mày tươi tắn [SEP] Thấy mặt nó nhìn tươi tái là vui rồi.,Thấy khuôn mặt nó rạng rỡ là vui rồi.
Mởn mơ,"Tươi tốt, mơn mởn, đầy sức sống.",Nhìn hai bên đồng lúa mởn mơ chạy dài theo con lộ,Nhìn hai bên đồng lúa mơn mởn chạy dài theo con đường,"Mởn mơ [SEP] Tươi tốt, mơn mởn, đầy sức sống. [SEP] Nhìn hai bên đồng lúa mởn mơ chạy dài theo con lộ",Nhìn hai bên đồng lúa mơn mởn chạy dài theo con đường
Nẩy,Ưỡn bụng ngực bật nảy lên Trẻ giãy giụa ưỡn ngược phản đối gay gắt Phát triển khấm khá.,Nó nẩy ngược hà.,Nó giãy ưỡn ngược ra à.,Nẩy [SEP] Ưỡn bụng ngực bật nảy lên Trẻ giãy giụa ưỡn ngược phản đối gay gắt Phát triển khấm khá. [SEP] Nó nẩy ngược hà.,Nó giãy ưỡn ngược ra à.
Đút nhét,"Đút lót, hối lộ",Nhà thằng đó nhờ ăn của đút nhét mà giàu lên,Nhà nó giàu lên là nhờ nhận tiền hối lộ đấy chứ,"Đút nhét [SEP] Đút lót, hối lộ [SEP] Nhà thằng đó nhờ ăn của đút nhét mà giàu lên",Nhà nó giàu lên là nhờ nhận tiền hối lộ đấy chứ
No lòi bản họng,No đến mức thức ăn muốn trào ra.,No lòi bản họng rồi mà thấy người khác ăn cũng có cái tật dòm miệng há.,Ăn no ứ hự tận cổ rồi mà thấy người khác ăn vẫn cứ thèm thuồng nhìn theo nhỉ.,No lòi bản họng [SEP] No đến mức thức ăn muốn trào ra. [SEP] No lòi bản họng rồi mà thấy người khác ăn cũng có cái tật dòm miệng há.,Ăn no ứ hự tận cổ rồi mà thấy người khác ăn vẫn cứ thèm thuồng nhìn theo nhỉ.
Rỏng rảnh,Tiếng xu va chạm,"Hổm rày mấy đứa cứ rỏng rảnh hoài, có chuyện gì vậy?","Dạo này mấy đứa cứ tiếng xu va chạm mãi, có chuyện gì vậy?","Rỏng rảnh [SEP] Tiếng xu va chạm [SEP] Hổm rày mấy đứa cứ rỏng rảnh hoài, có chuyện gì vậy?","Dạo này mấy đứa cứ tiếng xu va chạm mãi, có chuyện gì vậy?"
Cụng độ,Chạm trán Cá độ ăn thua,Tao với mày cụng độ xem kì này ai vô địch bóng đá thế giới,Tôi với cậu cá cược xem giải này đội nào vô địch bóng đá thế giới nhé,Cụng độ [SEP] Chạm trán Cá độ ăn thua [SEP] Tao với mày cụng độ xem kì này ai vô địch bóng đá thế giới,Tôi với cậu cá cược xem giải này đội nào vô địch bóng đá thế giới nhé
Ngáo,"Ngu khờ, ngơ ngác, kém hiểu biết, không theo kịp thời đại (ngố).",Chẳng qua mình chỉ là một thằng ngáo.,Chẳng qua mình chỉ là một thằng nhà quê ngơ ngác.,"Ngáo [SEP] Ngu khờ, ngơ ngác, kém hiểu biết, không theo kịp thời đại (ngố). [SEP] Chẳng qua mình chỉ là một thằng ngáo.",Chẳng qua mình chỉ là một thằng nhà quê ngơ ngác.
Ròng ròng,Cá lóc con,"Cái kiểu ròng ròng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu cá lóc con đó quen lắm rồi, ai ở đây cũng biết.","Ròng ròng [SEP] Cá lóc con [SEP] Cái kiểu ròng ròng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu cá lóc con đó quen lắm rồi, ai ở đây cũng biết."
Bứng (4),Lúc vừa hửng sáng,Mới sớm bứng mà đi đâu gấp vậy anh Út?,Mới sớm tinh mơ mà đi đâu vội thế anh Út?,Bứng (4) [SEP] Lúc vừa hửng sáng [SEP] Mới sớm bứng mà đi đâu gấp vậy anh Út?,Mới sớm tinh mơ mà đi đâu vội thế anh Út?
Sanh (người),"Sinh viên, học sinh Hoặc sinh đẻ",Cha mẹ sanh anh là con trai.,Cha mẹ sinh anh là con trai.,"Sanh (người) [SEP] Sinh viên, học sinh Hoặc sinh đẻ [SEP] Cha mẹ sanh anh là con trai.",Cha mẹ sinh anh là con trai.
Dạ dưới,Phần cơ thể người có bộ phận sinh dục,Rủi em đạp mạnh quá nhằm dạ dưới làm nó tức đến mất thở,Chẳng may em đạp mạnh quá trúng phần dưới làm nó tức đến nghẹt thở,Dạ dưới [SEP] Phần cơ thể người có bộ phận sinh dục [SEP] Rủi em đạp mạnh quá nhằm dạ dưới làm nó tức đến mất thở,Chẳng may em đạp mạnh quá trúng phần dưới làm nó tức đến nghẹt thở
Cạn trợt xột,"Cạn đến mức không ngờ, nông ngay phía ngoài","Tưởng cái giếng sâu, không ngờ nó cạn trợt như vầy","Cứ tưởng giếng sâu, không ngờ nó lại nông toèn thế này","Cạn trợt xột [SEP] Cạn đến mức không ngờ, nông ngay phía ngoài [SEP] Tưởng cái giếng sâu, không ngờ nó cạn trợt như vầy","Cứ tưởng giếng sâu, không ngờ nó lại nông toèn thế này"
Kiểng chùa,"Cảnh chùa, ngôi chùa.",cất một kiểng chùa cũng chỉ là gom mớ gạch ngói,xây một ngôi chùa cũng chỉ là gom mớ gạch ngói,"Kiểng chùa [SEP] Cảnh chùa, ngôi chùa. [SEP] cất một kiểng chùa cũng chỉ là gom mớ gạch ngói",xây một ngôi chùa cũng chỉ là gom mớ gạch ngói
Béo (),"Cấu, véo Bớt xén, ăn chặn",Chúng nó cũng thường ăn béo ăn bớt của dân được cái gì hay cái nấy,Bọn chúng cũng thường ăn bớt ăn xén của dân được cái gì hay cái nấy,"Béo () [SEP] Cấu, véo Bớt xén, ăn chặn [SEP] Chúng nó cũng thường ăn béo ăn bớt của dân được cái gì hay cái nấy",Bọn chúng cũng thường ăn bớt ăn xén của dân được cái gì hay cái nấy
Dòm ngó,"Nhìn ngó, soi mói, để ý chằm chằm.","Tui mới sắm chiếc xe, bà hàng xóm qua dòm ngó rồi hỏi giá hoài.","Tôi mới mua chiếc xe, bà hàng xóm qua nhìn ngó soi mói rồi hỏi giá liên tục.","Dòm ngó [SEP] Nhìn ngó, soi mói, để ý chằm chằm. [SEP] Tui mới sắm chiếc xe, bà hàng xóm qua dòm ngó rồi hỏi giá hoài.","Tôi mới mua chiếc xe, bà hàng xóm qua nhìn ngó soi mói rồi hỏi giá liên tục."
Quá trời thần,Giống quá trời quá đất,Đám cưới làm quá trời thần luôn.,Đám cưới làm cực kỳ linh đình.,Quá trời thần [SEP] Giống quá trời quá đất [SEP] Đám cưới làm quá trời thần luôn.,Đám cưới làm cực kỳ linh đình.
Tróc củ hủ,Thất bại sạch sành sanh,"Hổm rày tụi nó cứ tróc củ hủ hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ thất bại sạch sành sanh mãi, có chuyện gì vậy?","Tróc củ hủ [SEP] Thất bại sạch sành sanh [SEP] Hổm rày tụi nó cứ tróc củ hủ hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ thất bại sạch sành sanh mãi, có chuyện gì vậy?"
Khui,"1. Mở vật đã đóng hoặc niêm kín (khui bia, khui thùng).2. Khơi, gợi ra chuyện cũ.3. Khám phá, phát hiện (khui đường dây).4. Đưa ra trước công luận (khui lên báo).5. Bốc thăm trong chơi hụi.",Đúng mười một giờ tôi sẽ khui xem ai hốt.,Đúng mười một giờ tôi sẽ bốc thăm/mở bát xem ai lấy.,"Khui [SEP] 1. Mở vật đã đóng hoặc niêm kín (khui bia, khui thùng).2. Khơi, gợi ra chuyện cũ.3. Khám phá, phát hiện (khui đường dây).4. Đưa ra trước công luận (khui lên báo).5. Bốc thăm trong chơi hụi. [SEP] Đúng mười một giờ tôi sẽ khui xem ai hốt.",Đúng mười một giờ tôi sẽ bốc thăm/mở bát xem ai lấy.
Nóng gà,"Nổi cáu, tức giận vì bị xúc phạm chọc tức.","Nghe nó nói là tao thấy nóng gà rồi, muốn đấm cho nó một trận","Nghe nó nói là tôi thấy nóng máu, muốn đấm cho nó một trận","Nóng gà [SEP] Nổi cáu, tức giận vì bị xúc phạm chọc tức. [SEP] Nghe nó nói là tao thấy nóng gà rồi, muốn đấm cho nó một trận","Nghe nó nói là tôi thấy nóng máu, muốn đấm cho nó một trận"
Bấy,"Ẩm ướt, nhão nhoét",Rửa có mấy cái chén mà bấy cả một góc nhà,Rửa có mấy cái bát mà nhão nhoét cả một góc nhà,"Bấy [SEP] Ẩm ướt, nhão nhoét [SEP] Rửa có mấy cái chén mà bấy cả một góc nhà",Rửa có mấy cái bát mà nhão nhoét cả một góc nhà
Tre mạnh tông,Loại tre lấy măng,Măng tre mạnh tông ăn ngọt lắm.,Măng tre đại ăn ngọt lắm.,Tre mạnh tông [SEP] Loại tre lấy măng [SEP] Măng tre mạnh tông ăn ngọt lắm.,Măng tre đại ăn ngọt lắm.
Dậm,"Thấm nhòe, loang nét chữ",Ba cái giấy tập bị dậm này làm sao mà viết viết mực được,Mấy tờ giấy tập bị nhòe này sao mà viết bút mực được,"Dậm [SEP] Thấm nhòe, loang nét chữ [SEP] Ba cái giấy tập bị dậm này làm sao mà viết viết mực được",Mấy tờ giấy tập bị nhòe này sao mà viết bút mực được
Xẩm,Phụ nữ Hoa kiều,"Hổm rày người ta cứ xẩm hoài, có chuyện gì vậy?","Dạo này người ta cứ phụ nữ hoa kiều mãi, có chuyện gì vậy?","Xẩm [SEP] Phụ nữ Hoa kiều [SEP] Hổm rày người ta cứ xẩm hoài, có chuyện gì vậy?","Dạo này người ta cứ phụ nữ hoa kiều mãi, có chuyện gì vậy?"
Hứa lèo,"Hứa hão, hứa lèo, hứa mà không bao giờ thực hiện (hứa dóc).",Thằng đó chỉ giỏi có nước hứa lụi.,Thằng đó chỉ giỏi hứa suông.,"Hứa lèo [SEP] Hứa hão, hứa lèo, hứa mà không bao giờ thực hiện (hứa dóc). [SEP] Thằng đó chỉ giỏi có nước hứa lụi.",Thằng đó chỉ giỏi hứa suông.
Tỉnh queo,"Thản nhiên, tỉnh bơ","Ở dưới quê người ta hay tỉnh queo lắm, trên này ít hơn.","Ở dưới quê người ta hay thản nhiên lắm, trên này ít hơn.","Tỉnh queo [SEP] Thản nhiên, tỉnh bơ [SEP] Ở dưới quê người ta hay tỉnh queo lắm, trên này ít hơn.","Ở dưới quê người ta hay thản nhiên lắm, trên này ít hơn."
Gần xịt,"Rất gần, ngay sát bên cạnh",Nhà gần xịt hè Anh đi mấy bước nữa là tới thôi,Nhà ngay gần đây thôi Anh đi vài bước nữa là đến nơi,"Gần xịt [SEP] Rất gần, ngay sát bên cạnh [SEP] Nhà gần xịt hè Anh đi mấy bước nữa là tới thôi",Nhà ngay gần đây thôi Anh đi vài bước nữa là đến nơi
